OSEBuildingID,PrimaryPropertyType,PropertyName,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance_from_City_Hall,proportion_elec,ln_consommation,ln_emissions
125,education,Mercer International Middle,2,1957.0,1.0,1.0,0.0,130862.0,education,134446.0,aucun,0.0,aucun,0.0,61.0,6456026.0,238.48,4.612336946492599,0.37,15.68052467107931,5.478469906057152
127,education,Orca K-8 School,2,1989.0,1.0,3.0,0.0,59955.0,education,59955.0,aucun,0.0,aucun,0.0,93.0,1633399.375,20.48,6.79097193446391,0.87,14.306174519488753,3.067122269640664
130,education,McClure Middle,7,1964.0,1.0,2.0,0.0,93218.0,education,93218.0,aucun,0.0,aucun,0.0,86.0,2887392.0,84.75,4.267160254842447,0.62,14.87586457684853,4.45143608604605
131,other,Lakeview,4,1941.0,1.0,4.0,0.0,56521.0,other,49000.0,aucun,0.0,aucun,0.0,,6357632.0,44.32,8.015023152460227,0.87,15.665166696232612,3.8137484361598055
132,other,Roosevelt Square,4,1929.0,1.0,2.0,0.0,206934.0,other,119146.0,non refrigerated warehouse,0.0,aucun,0.0,,4253577.5,133.58,8.031626708255859,0.37,15.263271186617457,4.9021588177601725
136,lodging,Holiday Inn Express North Seattle Shoreline,5,2001.0,1.0,4.0,0.0,51390.0,lodging,51390.0,non refrigerated warehouse,0.0,aucun,0.0,89.0,3611538.0,127.29,14.236144042827853,0.37,15.09964455525178,4.854293326261249
137,education,Broadview-Thomson K-8,5,1963.0,1.0,2.0,0.0,131013.0,education,131909.0,aucun,0.0,aucun,0.0,88.0,3894584.5,124.92,13.544738911595687,0.37,15.1750978131389,4.835646784669093
138,education,Ingraham High,5,1959.0,1.0,1.0,0.0,245587.0,education,245587.0,aucun,0.0,aucun,0.0,92.0,11765682.0,443.73,13.561306514145286,0.37,16.280697632007218,6.09746735645105
139,lodging,7066-Seattle-Northgate,5,2002.0,1.0,3.0,0.0,69138.0,lodging,70609.0,aucun,0.0,aucun,0.0,78.0,3242458.0,89.02,13.562044898515813,0.62,14.991842550528414,4.500031867864786
140,education,B.F. Day Elementary,6,1991.0,1.0,3.0,0.0,66588.0,education,66588.0,aucun,0.0,aucun,0.0,,2104286.0,14.67,5.830517319283455,0.87,14.559487250381276,2.7517480563679295
